Case #1: 1
Case #2: NOT POSSIBLE
Case #3: NOT POSSIBLE
Case #4: NOT POSSIBLE
Case #5: NOT POSSIBLE
Case #6: NOT POSSIBLE
Case #7: 1
Case #8: NOT POSSIBLE
Case #9: NOT POSSIBLE
Case #10: NOT POSSIBLE
Case #11: NOT POSSIBLE
Case #12: NOT POSSIBLE
Case #13: NOT POSSIBLE
Case #14: NOT POSSIBLE
Case #15: 2
Case #16: NOT POSSIBLE
Case #17: NOT POSSIBLE
Case #18: NOT POSSIBLE
Case #19: NOT POSSIBLE
Case #20: NOT POSSIBLE
Case #21: NOT POSSIBLE
Case #22: NOT POSSIBLE
Case #23: NOT POSSIBLE
Case #24: NOT POSSIBLE
Case #25: NOT POSSIBLE
Case #26: NOT POSSIBLE
Case #27: 1
Case #28: NOT POSSIBLE
Case #29: NOT POSSIBLE
Case #30: NOT POSSIBLE
Case #31: NOT POSSIBLE
Case #32: NOT POSSIBLE
Case #33: NOT POSSIBLE
Case #34: NOT POSSIBLE
Case #35: NOT POSSIBLE
Case #36: NOT POSSIBLE
Case #37: NOT POSSIBLE
Case #38: 0
Case #39: NOT POSSIBLE
Case #40: NOT POSSIBLE
Case #41: NOT POSSIBLE
Case #42: NOT POSSIBLE
Case #43: NOT POSSIBLE
Case #44: NOT POSSIBLE
Case #45: NOT POSSIBLE
Case #46: NOT POSSIBLE
Case #47: NOT POSSIBLE
Case #48: NOT POSSIBLE
Case #49: NOT POSSIBLE
Case #50: NOT POSSIBLE
Case #51: NOT POSSIBLE
Case #52: 1
Case #53: NOT POSSIBLE
Case #54: NOT POSSIBLE
Case #55: NOT POSSIBLE
Case #56: NOT POSSIBLE
Case #57: NOT POSSIBLE
Case #58: NOT POSSIBLE
Case #59: NOT POSSIBLE
Case #60: NOT POSSIBLE
Case #61: NOT POSSIBLE
Case #62: NOT POSSIBLE
Case #63: NOT POSSIBLE
Case #64: NOT POSSIBLE
Case #65: NOT POSSIBLE
Case #66: 1
Case #67: NOT POSSIBLE
Case #68: NOT POSSIBLE
Case #69: NOT POSSIBLE
Case #70: NOT POSSIBLE
Case #71: 1
Case #72: NOT POSSIBLE
Case #73: NOT POSSIBLE
Case #74: NOT POSSIBLE
Case #75: NOT POSSIBLE
Case #76: NOT POSSIBLE
Case #77: NOT POSSIBLE
Case #78: NOT POSSIBLE
Case #79: NOT POSSIBLE
Case #80: NOT POSSIBLE
Case #81: NOT POSSIBLE
Case #82: NOT POSSIBLE
Case #83: NOT POSSIBLE
Case #84: NOT POSSIBLE
Case #85: NOT POSSIBLE
Case #86: 2
Case #87: NOT POSSIBLE
Case #88: NOT POSSIBLE
Case #89: NOT POSSIBLE
Case #90: NOT POSSIBLE
Case #91: NOT POSSIBLE
Case #92: NOT POSSIBLE
Case #93: NOT POSSIBLE
Case #94: NOT POSSIBLE
Case #95: NOT POSSIBLE
Case #96: NOT POSSIBLE
Case #97: NOT POSSIBLE
Case #98: NOT POSSIBLE
Case #99: NOT POSSIBLE
Case #100: NOT POSSIBLE
